City ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,-0.09,80,75,10.29,SJ,1698727534
1,grytviken,-54.2811,-36.5092,2.65,83,72,2.78,GS,1698727248
2,twon-brass,4.3151,6.2418,26.52,83,100,3.03,NG,1698727543
3,edinburgh of the seven seas,-37.0676,-12.3116,14.07,94,94,11.36,SH,1698727262
4,port mathurin,-19.6833,63.4167,24.54,81,29,8.49,MU,1698727544
5,ribeira grande,38.5167,-28.7,19.87,84,48,8.05,PT,1698727544
6,keflavik,64.0049,-22.5624,2.24,80,40,5.14,IS,1698727544
7,tolanaro,-25.0319,46.9987,22.04,94,75,3.09,MG,1698727545
8,bakanas,44.8081,76.2772,11.37,70,100,8.77,KZ,1698727545
9,port-aux-francais,-49.35,70.2167,4.04,87,100,16.96,TF,1698727545
10,puerto aysen,-45.4,-72.7,-0.53,98,100,0.78,CL,1698727545
11,shakawe,-18.3667,21.85,22.75,63,2,1.31,BW,1698727546
12,mbanza kongo,-6.267,14.2401,21.81,95,100,1.03,AO,1698727546
13,vila franca do campo,37.7167,-25.4333,19.38,99,63,5.14,PT,1698727546
14,margaret river,-33.95,115.0667,18.97,52,44,4.81,AU,1698727547
15,thompson,55.7435,-97.8558,-6.91,73,100,3.09,CA,1698727547
16,puerto natales,-51.7236,-72.4875,-0.1,80,1,1.73,CL,1698727547
17,conception bay south,47.4999,-52.9981,1.48,95,100,1.82,CA,1698727506
18,filadelfia,39.9523,-75.1638,11.5,72,100,4.12,US,1698727349
19,lebu,-37.6167,-73.65,6.7,84,90,4.03,CL,1698727300
20,buguma,4.7341,6.8635,24.2,92,100,0.91,NG,1698727548
21,kotovo,50.3211,44.8012,8.81,79,98,6.69,RU,1698727548
22,vorkuta,67.5,64.0,-9.76,93,100,4.88,RU,1698727549
23,ust-tsilma,65.441,52.1498,-8.55,98,97,0.89,RU,1698727549
24,glace bay,46.1969,-59.957,4.32,96,100,3.09,CA,1698727549
25,ribeira brava,32.65,-17.0667,22.06,92,100,1.79,PT,1698727549
26,bamboo flat,11.7,92.7167,30.05,79,40,3.6,IN,1698727549
27,chonchi,-42.6128,-73.8092,1.73,96,6,0.43,CL,1698727550
28,kapuskasing,49.4169,-82.4331,-5.95,79,75,2.57,CA,1698727550
29,port elizabeth,-33.918,25.5701,16.29,76,0,6.17,ZA,1698727550
30,kenora,49.8167,-94.4337,-3.46,93,75,2.06,CA,1698727550
31,camarinas,43.1311,-9.1817,13.29,79,47,7.65,ES,1698727551
32,khash,28.2211,61.2158,22.97,24,10,3.99,IR,1698727551
33,qaqortoq,60.7167,-46.0333,2.76,88,100,5.71,GL,1698727299
34,namibe,-15.1961,12.1522,17.78,76,0,2.68,AO,1698727551
35,polyarnyy,69.1989,33.4478,-5.66,92,100,3.82,RU,1698727370
36,punta del este,-34.9667,-54.95,12.15,74,0,4.63,UY,1698727552
37,georgetown,5.4112,100.3354,31.97,70,20,2.06,MY,1698727373
38,west island,-12.1568,96.8225,27.99,78,75,6.69,CC,1698727552
39,al mishkhab,31.8042,44.4911,22.06,31,89,1.96,IQ,1698727552
40,rabo de peixe,37.8,-25.5833,18.88,99,75,5.66,PT,1698727553
41,hermanus,-34.4187,19.2345,13.68,79,20,6.28,ZA,1698727553
42,san rafael,-34.6177,-68.3301,9.99,28,1,1.94,AR,1698727307
43,sinabang,2.4803,96.3801,27.68,75,98,1.59,ID,1698727263
44,takoradi,4.8845,-1.7554,25.51,91,5,2.75,GH,1698727554
45,isafjordur,66.0755,-23.124,1.46,72,35,1.61,IS,1698727554
46,balykshi,47.0667,51.8667,4.0,93,23,4.0,KZ,1698727554
47,el bauga,18.262,33.9081,26.49,57,30,3.48,SD,1698727554
48,khanty-mansiysk,61.0042,69.0019,-11.94,85,75,3.13,RU,1698727555
49,kruisfontein,-34.0033,24.7314,12.92,75,0,2.97,ZA,1698727555
50,luderitz,-26.6481,15.1594,17.34,45,1,1.08,NA,1698727555
